company,source,page,unit,side,block,row_index,item,col_index,equity_component,is_total_col,kind,value
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,23,รวมกาไรขาดทุนเบ็ดเสร็จสาหรับงวด,3,วนเกินมูลค่าหุน้ หุน้ สามัญ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,23,รวมกาไรขาดทุนเบ็ดเสร็จสาหรับงวด,4,กาไร (ขาดทุน) จากการวัด มูลค่าเงินลงทุน ในตราสารหนี้ ด้วยมูลค่ายุติธรรม ผ่านกาไรขาดทุน เบ็ดเสร็ จอื่น,False,movement,-3760306.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,23,รวมกาไรขาดทุนเบ็ดเสร็จสาหรับงวด,5,องค์ประกอบอื่นของส่ ขาดทุน จากการแปลงค่า งบการเงิน จากการ ดาเนิ นงาน ในต่างประเทศ,False,movement,-71736.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,23,รวมกาไรขาดทุนเบ็ดเสร็จสาหรับงวด,6,งบการเงินรวม วนของเจ้าของ กาไร จากเงินลงทุน ในตราสารทุน ที่กาหนดให้วดั มูลค่า ด้วยมูลค่ายุติธรรม ผ่านกาไรขาดทุน เบ็ดเสร็ จอื่น (พันบาท),False,movement,902.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,23,รวมกาไรขาดทุนเบ็ดเสร็จสาหรับงวด,7,การเปลี่ยนแปลง ในส่ วนเกินทุน จากการตีราคา สิ นทรัพย์,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,23,รวมกาไรขาดทุนเบ็ดเสร็จสาหรับงวด,8,รวม องค์ประกอบ อื่นของส่ วน ของเจ้าของ ตามกฎหมาย,False,movement,-3831140.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,23,รวมกาไรขาดทุนเบ็ดเสร็จสาหรับงวด,9,ทุนสารอง,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,23,รวมกาไรขาดทุนเบ็ดเสร็จสาหรับงวด,10,กาไรสะสม ยังไม่ได้จดั สรร ของธนาคาร,False,movement,10879960.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,23,รวมกาไรขาดทุนเบ็ดเสร็จสาหรับงวด,11,รวมส่ วนที่เป็ น,False,movement,7048820.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,23,รวมกาไรขาดทุนเบ็ดเสร็จสาหรับงวด,12,ส่ วนได้เสี ยที่ ไม่มีอานาจ ควบคุม,False,movement,19972.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,23,รวมกาไรขาดทุนเบ็ดเสร็จสาหรับงวด,13,รวม,True,movement,7068792.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,25,โอนไปกาไรสะสม,0,ทุนที่ออกและชาระแล้ว บุริมสิ ทธิ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,25,โอนไปกาไรสะสม,1,หุน้ สามัญ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,25,โอนไปกาไรสะสม,2,ส่ หุน้ บุริมสิ ทธิ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,25,โอนไปกาไรสะสม,3,วนเกินมูลค่าหุน้ หุน้ สามัญ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,25,โอนไปกาไรสะสม,4,กาไร (ขาดทุน) จากการวัด มูลค่าเงินลงทุน ในตราสารหนี้ ด้วยมูลค่ายุติธรรม ผ่านกาไรขาดทุน เบ็ดเสร็ จอื่น,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,25,โอนไปกาไรสะสม,5,องค์ประกอบอื่นของส่ ขาดทุน จากการแปลงค่า งบการเงิน จากการ ดาเนิ นงาน ในต่างประเทศ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,25,โอนไปกาไรสะสม,6,งบการเงินรวม วนของเจ้าของ กาไร จากเงินลงทุน ในตราสารทุน ที่กาหนดให้วดั มูลค่า ด้วยมูลค่ายุติธรรม ผ่านกาไรขาดทุน เบ็ดเสร็ จอื่น (พันบาท),False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,25,โอนไปกาไรสะสม,7,การเปลี่ยนแปลง ในส่ วนเกินทุน จากการตีราคา สิ นทรัพย์,False,movement,-74307.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,25,โอนไปกาไรสะสม,8,รวม องค์ประกอบ อื่นของส่ วน ของเจ้าของ ตามกฎหมาย,False,movement,-74307.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,25,โอนไปกาไรสะสม,9,ทุนสารอง,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,25,โอนไปกาไรสะสม,10,กาไรสะสม ยังไม่ได้จดั สรร ของธนาคาร,False,movement,74307.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,25,โอนไปกาไรสะสม,11,รวมส่ วนที่เป็ น,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,25,โอนไปกาไรสะสม,12,ส่ วนได้เสี ยที่ ไม่มีอานาจ ควบคุม,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,25,โอนไปกาไรสะสม,13,รวม,True,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,27,ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2569,0,ทุนที่ออกและชาระแล้ว บุริมสิ ทธิ,False,balance,6412.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,27,ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2569,1,หุน้ สามัญ,False,balance,33985510.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,27,ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2569,2,ส่ หุน้ บุริมสิ ทธิ,False,balance,2508.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,27,ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2569,3,วนเกินมูลค่าหุน้ หุน้ สามัญ,False,balance,11121683.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,27,ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2569,4,กาไร (ขาดทุน) จากการวัด มูลค่าเงินลงทุน ในตราสารหนี้ ด้วยมูลค่ายุติธรรม ผ่านกาไรขาดทุน เบ็ดเสร็ จอื่น,False,balance,-2425674.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,27,ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2569,5,องค์ประกอบอื่นของส่ ขาดทุน จากการแปลงค่า งบการเงิน จากการ ดาเนิ นงาน ในต่างประเทศ,False,balance,-954088.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,27,ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2569,6,งบการเงินรวม วนของเจ้าของ กาไร จากเงินลงทุน ในตราสารทุน ที่กาหนดให้วดั มูลค่า ด้วยมูลค่ายุติธรรม ผ่านกาไรขาดทุน เบ็ดเสร็ จอื่น (พันบาท),False,balance,1271875.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,27,ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2569,7,การเปลี่ยนแปลง ในส่ วนเกินทุน จากการตีราคา สิ นทรัพย์,False,balance,20674148.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,27,ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2569,8,รวม องค์ประกอบ อื่นของส่ วน ของเจ้าของ ตามกฎหมาย,False,balance,18566261.0
