company,source,statement,unit,page,section,item_raw,item_used,concept,concept_eq,match_score,con_cur,con_prev,sep_cur,sep_prev
IIG,FINANCIAL_STATEMENTS_IIG.pdf,SE,unknown,"6,10",งบรวม+งบเฉพาะกิจการ,กาไร (ขาดทุน) เบ็ดเสร็จรวมสาหรับงวด,กาไร (ขาดทุน) เบ็ดเสร็จรวมสาหรับงวด,TOTAL_COMPREHENSIVE_INCOME,TOTAL_COMPREHENSIVE_INCOME,1.0,-17153863.0,-99220484.0,-11449379.0,-64102908.0
IIG,FINANCIAL_STATEMENTS_IIG.pdf,SE,unknown,"6,10",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที่ 31 มีนำคม 2569,ยอดคงเหลือ ณ วันที่ 31 มีนำคม,SE_CLOSING,SE_CLOSING,1.0,220811040.0,519397524.0,263034384.0,483824928.0
IIG,FINANCIAL_STATEMENTS_IIG.pdf,SE,unknown,6,งบรวม,เงินปันผลจ่าย,เงินปันผลจ่าย,SE_DIVIDEND,SE_DIVIDEND,1.0,,-4800000.0,,
IIG,FINANCIAL_STATEMENTS_IIG.pdf,SE,unknown,"6,10",งบรวม+งบเฉพาะกิจการ,การเพิม่ ทุน,การเพิม่ ทุน,,,0.667,,5000032.0,,5000032.0
IIG,FINANCIAL_STATEMENTS_IIG.pdf,SE,unknown,6,งบรวม,การควบคุมในบริษทั ย่อย,การควบคุมในบริษทั ย่อย,,,0.667,,-62175035.0,,
MFEC,FINANCIAL_STATEMENTS_Mfec.pdf,SE,thousand,"6,7",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที่ 1 มกรำคม 2569,ยอดคงเหลือ ณ วันที่ 1 มกรำคม,SE_OPENING,SE_OPENING,1.0,2610899.0,2624468.0,2384590.0,2393659.0
MFEC,FINANCIAL_STATEMENTS_Mfec.pdf,SE,thousand,"6,7",งบรวม+งบเฉพาะกิจการ,กาไรสาหรับงวด,กาไรสาหรับงวด,NET_PROFIT,NET_PROFIT,1.0,75567.0,60662.0,68493.0,86475.0
MFEC,FINANCIAL_STATEMENTS_Mfec.pdf,SE,thousand,"6,7",งบรวม+งบเฉพาะกิจการ,กาไรขาดทุนเบ็ดเสร็ จอื่นสาหรับงวด,กาไรขาดทุนเบ็ดเสร็ จอื่นสาหรับงวด,OCI_TOTAL,OCI_TOTAL,1.0,21960.0,-7931.0,21960.0,-7931.0
MFEC,FINANCIAL_STATEMENTS_Mfec.pdf,SE,thousand,"6,7",งบรวม+งบเฉพาะกิจการ,กาไรขาดทุนเบ็ดเสร็ จรวมสาหรับงวด,กาไรขาดทุนเบ็ดเสร็ จรวมสาหรับงวด,TOTAL_COMPREHENSIVE_INCOME,TOTAL_COMPREHENSIVE_INCOME,1.0,97527.0,52731.0,90453.0,78544.0
MFEC,FINANCIAL_STATEMENTS_Mfec.pdf,SE,thousand,6,งบรวม,บริ ษทั ย่อยจ่ายเงินปันผลให้ผมู้ ีส่วนได้เสี ย ที่ไม่มีอานาจควบคุม,บริ ษทั ย่อยจ่ายเงินปันผลให้ผมู้ ีส่วนได้เสี ย ที่ไม่มีอานาจควบคุม,SE_DIVIDEND_TO_NCI,SE_DIVIDEND_TO_NCI,1.0,-2279.0,,,
MFEC,FINANCIAL_STATEMENTS_Mfec.pdf,SE,thousand,6,งบรวม,ส่ วนของผูม้ ีส่วนได้เสี ยที่ไม่มีอานาจควบคุม จากการลงทุนในบริ ษทั ย่อยเพิ่มขึ้น,ส่ วนของผูม้ ีส่วนได้เสี ยที่ไม่มีอานาจควบคุม จากการลงทุนในบริ ษทั ย่อยเพิ่มขึ้น,SE_NCI_INCREASE,SE_NCI_INCREASE,1.0,750.0,,,
