company,source,statement,unit,page,section,item_raw,item_used,concept,concept_eq,match_score,con_cur,con_prev,sep_cur,sep_prev
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,กระแสเงินสดจากกิจกรรมลงทุน,เงินสดรับจากการขายที่ดิน อาคารและอุปกรณ์,เงินสดรับจากการขายที่ดิน อาคารและอุปกรณ์,,,0.829,3314.0,304.0,113.0,297.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,กระแสเงินสดจากกิจกรรมลงทุน,เงินสดจ่ายในการซื้ อสิ นทรัพย์ไม่มีตวั ตน,เงินสดจ่ายในการซื้ อสิ นทรัพย์ไม่มีตวั ตน,,,0.693,-615454.0,-826242.0,-616975.0,-820187.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,กระแสเงินสดจากกิจกรรมลงทุน,เงินสดรับจากการขายสิ นทรัพย์ไม่มีตวั ตน,เงินสดรับจากการขายสิ นทรัพย์ไม่มีตวั ตน,,,0.763,,144000.0,,144000.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,กระแสเงินสดจากกิจกรรมลงทุน,เงินสดสุทธิใช้ ไปในกิจกรรมลงทุน,เงินสดสุทธิใช้ ไปในกิจกรรมลงทุน,CF_INVESTING,CF_INVESTING,1.0,-32088199.0,-16618596.0,-32126770.0,-16529321.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,กระแสเงินสดจากกิจกรรมจัดหาเงิน,เงินสดรับจากการออกตราสารหนี้ ระยะยาว,เงินสดรับจากการออกตราสารหนี้ ระยะยาว,,,0.737,15652461.0,141163.0,15652461.0,141163.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,กระแสเงินสดจากกิจกรรมจัดหาเงิน,เงินสดจ่ายชาระคืนเงินกูย้ ืมระยะยาว,เงินสดจ่ายชาระคืนเงินกูย้ ืมระยะยาว,,,0.667,-663.0,-652.0,-663.0,-652.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,กระแสเงินสดจากกิจกรรมจัดหาเงิน,เงินสดจ่ายชาระหนี้ สินตามสัญญาเช่า,เงินสดจ่ายชาระหนี้ สินตามสัญญาเช่า,,,0.714,-134232.0,-205176.0,-112357.0,-171187.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,กระแสเงินสดจากกิจกรรมจัดหาเงิน,เงินสดสุทธิได้ มาจาก (ใช้ ไปใน) กิจกรรมจัดหาเงิน,เงินสดสุทธิได้ มาจาก (ใช้ ไปใน) กิจกรรมจัดหาเงิน,CF_FINANCING,CF_FINANCING,1.0,15517566.0,-64665.0,15539441.0,-30676.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,กระแสเงินสดจากกิจกรรมจัดหาเงิน,กาไร (ขาดทุน) จากการแปลงค่างบการเงินจากการดาเนิ นงานในต่างประเทศ,กาไร (ขาดทุน) จากการแปลงค่างบการเงินจากการดาเนิ นงานในต่างประเทศ,OCI_FX_TRANSLATION,OCI_FX_TRANSLATION,1.0,-71736.0,7522.0,-357860.0,21743.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,กระแสเงินสดจากกิจกรรมจัดหาเงิน,เงินสดลดลงสุทธิ,เงินสดลดลงสุทธิ,,,0.714,-4476183.0,-6672086.0,-4467756.0,-6689713.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,กระแสเงินสดจากกิจกรรมจัดหาเงิน,เงินสด ณ วันที่ 1 มกราคม,เงินสด ณ วันที่ 1 มกราคม,,,0.7,43835775.0,43765845.0,43676709.0,43629849.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,กระแสเงินสดจากกิจกรรมจัดหาเงิน,เงินสด ณ วันที่ 31 มีนาคม,เงินสด ณ วันที่ 31 มีนาคม,,,0.708,39359592.0,37093759.0,39208953.0,36940136.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,กําไรก่อนภาษีเงินได้,กําไรก่อนภาษีเงินได้,PROFIT_BEFORE_TAX,PROFIT_BEFORE_TAX,1.0,6917249.0,1475086.0,452988.0,991121.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ค่าเสือมราคาและค่าตัดจําหน่าย,ค่าเสือมราคาและค่าตัดจําหน่าย,DEPRECIATION_AMORTISATION,DEPRECIATION_AMORTISATION,1.0,17748015.0,17376961.0,260194.0,266811.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ดอกเบียรับ,ดอกเบียรับ,INTEREST_INCOME_CF,INTEREST_INCOME_CF,1.0,-66228.0,-73765.0,-2111235.0,-1740051.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ดอกเบียจ่าย 7,ดอกเบียจ่าย 7,,,0.773,4263134.0,4536849.0,2692065.0,2395743.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ต้นทุนทางการเงินทีเกียวข้องกับใบอนุญาต 7,ต้นทุนทางการเงินทีเกียวข้องกับใบอนุญาต 7,,,0.592,381587.0,466436.0,,
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,เงินปั นผลรับ 17,เงินปั นผลรับ 17,DIVIDEND_INCOME,DIVIDEND_INCOME,1.0,-5959.0,,-485632.0,-485632.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,(กําไร)ขาดทุนจากการขายทีดิน อาคารและอุปกรณ์,(กําไร)ขาดทุนจากการขายทีดิน อาคารและอุปกรณ์,,,0.667,-49411.0,145381.0,920.0,-1291.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,(กําไร)ขาดทุนจากการยกเลิกสินทรัพย์สทิ ธิการใช้,(กําไร)ขาดทุนจากการยกเลิกสินทรัพย์สทิ ธิการใช้,,,0.69,-37852.0,36296.0,-225.0,-5331.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ขาดทุนจากการด้อยค่าสินทรัพย์ -,ขาดทุนจากการด้อยค่าสินทรัพย์ -,,,0.679,,2609526.0,,945.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ขาดทุนจากมูลค่าลดลงของสินค้าคงเหลือ,ขาดทุนจากมูลค่าลดลงของสินค้าคงเหลือ,,,0.58,75938.0,70211.0,,
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ขาดทุนด้านเครดิตทีคาดว่าจะเกิดขึน(กลับรายการ),ขาดทุนด้านเครดิตทีคาดว่าจะเกิดขึน(กลับรายการ),,,0.809,582598.0,470330.0,,-209.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ทีวัดมูลค่าผ่านกําไรหรือขาดทุน 5,ทีวัดมูลค่าผ่านกําไรหรือขาดทุน 5,,,0.782,-964.0,2753.0,,
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ขาดทุนจากภาษีทไม่ ี สามารถขอคืนได้ - -,ขาดทุนจากภาษีทไม่ ี สามารถขอคืนได้ - -,,,0.625,,,38.0,144.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ภาระผูกพันผลประโยชน์พนักงานทีเพิมขึน,ภาระผูกพันผลประโยชน์พนักงานทีเพิมขึน,,,0.629,69997.0,68826.0,30783.0,30343.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,(กําไร)ขาดทุนจากอัตราแลกเปลียนทียังไม่เกิดขึนจริง,(กําไร)ขาดทุนจากอัตราแลกเปลียนทียังไม่เกิดขึนจริง,,,0.767,-86918.0,-35327.0,-111.0,141.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ส่วนแบ่งกําไรจากเงินลงทุน 9,ส่วนแบ่งกําไรจากเงินลงทุน 9,,,0.789,-745054.0,-753802.0,,
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ภาระผูกพันผลประโยชน์พนักงาน - จ่ายชําระ,ภาระผูกพันผลประโยชน์พนักงาน - จ่ายชําระ,,,0.638,-24418.0,-67777.0,-17562.0,-34328.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,- ลูกหนีการค้าและลูกหนีหมุนเวียนอืน,- ลูกหนีการค้าและลูกหนีหมุนเวียนอืน,TRADE_RECEIVABLES,TRADE_RECEIVABLES,1.0,191840.0,317555.0,-394234.0,948450.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,- สินค้าคงเหลือ,- สินค้าคงเหลือ,INVENTORY,INVENTORY,1.0,39732.0,525551.0,37.0,-417.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,- สินทรัพย์หมุนเวียนอืน,- สินทรัพย์หมุนเวียนอืน,OTHER_CURRENT_ASSETS,OTHER_CURRENT_ASSETS,1.0,-697770.0,-1105660.0,3587.0,10566.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,- เงินลงทุนในค่าสิทธิสาํ หรับรายการภาพยนตร์,- เงินลงทุนในค่าสิทธิสาํ หรับรายการภาพยนตร์,,,0.641,-361590.0,-300994.0,,
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,- สินทรัพย์ไม่หมุนเวียนอืน,- สินทรัพย์ไม่หมุนเวียนอืน,OTHER_NONCURRENT_ASSETS,OTHER_NONCURRENT_ASSETS,1.0,14350.0,275687.0,875.0,14446.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,- เจ้าหนีการค้าและเจ้าหนีหมุนเวียนอืน,- เจ้าหนีการค้าและเจ้าหนีหมุนเวียนอืน,TRADE_PAYABLES,TRADE_PAYABLES,1.0,1087276.0,289362.0,-269282.0,-1456176.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,- หนีสินหมุนเวียนอืน,- หนีสินหมุนเวียนอืน,OTHER_CURRENT_LIAB,OTHER_CURRENT_LIAB,1.0,-608076.0,-123197.0,-505123.0,-116001.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,- หนีสินไม่หมุนเวียนอืน,- หนีสินไม่หมุนเวียนอืน,OTHER_NONCURRENT_LIAB,OTHER_NONCURRENT_LIAB,1.0,-1717.0,-80134.0,,-20397.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,เงินสดได้มาจาก(ใช้ไปใน)การดําเนินงาน,เงินสดได้มาจาก(ใช้ไปใน)การดําเนินงาน,CF_OPERATING_BEFORE_ITEMS,CF_OPERATING_BEFORE_ITEMS,1.0,28685759.0,26126154.0,-341917.0,798877.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,บวก เงินสดรับ - ดอกเบียรับ,บวก เงินสดรับ - ดอกเบียรับ,,,0.839,38855.0,37446.0,2635683.0,1482692.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,เงินสดรับ - ภาษีเงินได้,เงินสดรับ - ภาษีเงินได้,,,0.818,245364.0,280611.0,,
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,หัก เงินสดจ่าย - ดอกเบียจ่าย,หัก เงินสดจ่าย - ดอกเบียจ่าย,,,0.846,-4242710.0,-4813449.0,-2571444.0,-2571461.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,เงินสดจ่าย - ภาษีเงินได้,เงินสดจ่าย - ภาษีเงินได้,INCOME_TAX_PAID,INCOME_TAX_PAID,1.0,-435557.0,-471825.0,-93620.0,-49092.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,เงินสดสุทธิได้มาจาก(ใช้ไปใน)กิจกรรมดําเนินงาน,เงินสดสุทธิได้มาจาก(ใช้ไปใน)กิจกรรมดําเนินงาน,CF_OPERATING,CF_OPERATING,1.0,24291711.0,21158937.0,-371298.0,-338984.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,11,กระแสเงินสดจากกิจกรรมลงทุน,เงินสดทีมีภาระผูกพันเพิมขึน,เงินสดทีมีภาระผูกพันเพิมขึน,,,0.735,-12434.0,-7861.0,-11733.0,-8385.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,11,กระแสเงินสดจากกิจกรรมลงทุน,เงินให้กยู้ มื แก่กจิ การทีเกียวข้องกัน 21 - -,เงินให้กยู้ มื แก่กจิ การทีเกียวข้องกัน 21 - -,SHORT_TERM_LOANS_RELATED,SHORT_TERM_LOANS_RELATED,0.909,,,-14024371.0,-13841166.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,11,กระแสเงินสดจากกิจกรรมลงทุน,เงินสดจ่ายซือทีดิน อาคารและอุปกรณ์,เงินสดจ่ายซือทีดิน อาคารและอุปกรณ์,,,0.75,-9394653.0,-7859815.0,-9903.0,-46.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,CF,unknown,11,กระแสเงินสดจากกิจกรรมลงทุน,เงินสดจ่ายซือสินทรัพย์ไม่มตี วั ตน,เงินสดจ่ายซือสินทรัพย์ไม่มตี วั ตน,,,0.75,-7451072.0,-14553893.0,-5009.0,
